text,category_value,priority_value
"Добрый вечер, я столкнулся с проблемой при оплате заказа. это влияет на мои дальнейшие действия. очень рассчитываю на вашу помощь. я пробовал разобраться самостоятельно, но безрезультатно. я потратил достаточно времени, пытаясь решить это самостоятельно. возможно проблема на стороне системы. мне важно получить разъяснение. я не понимаю, с чем это может быть связано. это произошло неожиданно, хотя раньше подобных проблем не было. очень рассчитываю на вашу помощь. подобная ситуация вызывает вопросы. это произошло неожиданно, хотя раньше подобных проблем не было. я не понимаю, с чем это может быть связано. подобная ситуация вызывает вопросы. возможно проблема на стороне системы. это создает серьезные неудобства при использовании сервиса. возможно проблема на стороне системы. я не понимаю, с чем это может быть связано. это влияет на мои дальнейшие действия. возможно проблема на стороне системы. подобная ситуация вызывает вопросы. это влияет на мои дальнейшие действия. мне важно получить разъяснение. я не понимаю, с чем это может быть связано. подобная ситуация вызывает вопросы. я пробовал разобраться самостоятельно, но безрезультатно. я потратил достаточно времени, пытаясь решить это самостоятельно. я пробовал разобраться самостоятельно, но безрезультатно. это создает серьезные неудобства при использовании сервиса. я пробовал разобраться самостоятельно, но безрезультатно. это влияет на мои дальнейшие действия. возможно проблема на стороне системы. заранее спасибо за ответ.",0,0
"Приветствую, у меня возникла странная ситуация с оплатой. подобная ситуация вызывает вопросы. это произошло неожиданно, хотя раньше подобных проблем не было. очень рассчитываю на вашу помощь. я пробовал разобраться самостоятельно, но безрезультатно. это влияет на мои дальнейшие действия. мне важно получить разъяснение. это создает серьезные неудобства при использовании сервиса. я не понимаю, с чем это может быть связано. я не понимаю, с чем это может быть связано. я потратил достаточно времени, пытаясь решить это самостоятельно. это влияет на мои дальнейшие действия. подобная ситуация вызывает вопросы. я пробовал разобраться самостоятельно, но безрезультатно. я потратил достаточно времени, пытаясь решить это самостоятельно. это создает серьезные неудобства при использовании сервиса. возможно проблема на стороне системы. это произошло неожиданно, хотя раньше подобных проблем не было. мне важно получить разъяснение. подобная ситуация вызывает вопросы. очень рассчитываю на вашу помощь. это создает серьезные неудобства при использовании сервиса. я не понимаю, с чем это может быть связано. я не понимаю, с чем это может быть связано. я не понимаю, с чем это может быть связано. я не понимаю, с чем это может быть связано. подобная ситуация вызывает вопросы. это произошло неожиданно, хотя раньше подобных проблем не было. это создает серьезные неудобства при использовании сервиса. мне важно получить разъяснение. надеюсь на скорое решение.",0,0
"Приветствую, при попытке оплаты возникает ошибка. подобная ситуация вызывает вопросы. мне важно получить разъяснение. это произошло неожиданно, хотя раньше подобных проблем не было. возможно проблема на стороне системы. подобная ситуация вызывает вопросы. подобная ситуация вызывает вопросы. я потратил достаточно времени, пытаясь решить это самостоятельно. это создает серьезные неудобства при использовании сервиса. это создает серьезные неудобства при использовании сервиса. это создает серьезные неудобства при использовании сервиса. мне важно получить разъяснение. это влияет на мои дальнейшие действия. я пробовал разобраться самостоятельно, но безрезультатно. я потратил достаточно времени, пытаясь решить это самостоятельно. я не понимаю, с чем это может быть связано. это произошло неожиданно, хотя раньше подобных проблем не было. я не понимаю, с чем это может быть связано. это влияет на мои дальнейшие действия. мне важно получить разъяснение. очень рассчитываю на вашу помощь. это произошло неожиданно, хотя раньше подобных проблем не было. подобная ситуация вызывает вопросы. это создает серьезные неудобства при использовании сервиса. я пробовал разобраться самостоятельно, но безрезультатно. это произошло неожиданно, хотя раньше подобных проблем не было. мне важно получить разъяснение. подобная ситуация вызывает вопросы. я потратил достаточно времени, пытаясь решить это самостоятельно. это создает серьезные неудобства при использовании сервиса. это создает серьезные неудобства при использовании сервиса. возможно проблема на стороне системы. надеюсь на скорое решение.",0,0
"Приветствую, система списала деньги, но заказ не оформился. это создает серьезные неудобства при использовании сервиса. подобная ситуация вызывает вопросы. я пробовал разобраться самостоятельно, но безрезультатно. очень рассчитываю на вашу помощь. очень рассчитываю на вашу помощь. я потратил достаточно времени, пытаясь решить это самостоятельно. это произошло неожиданно, хотя раньше подобных проблем не было. возможно проблема на стороне системы. это создает серьезные неудобства при использовании сервиса. я не понимаю, с чем это может быть связано. возможно проблема на стороне системы. мне важно получить разъяснение. это влияет на мои дальнейшие действия. это влияет на мои дальнейшие действия. я пробовал разобраться самостоятельно, но безрезультатно. это произошло неожиданно, хотя раньше подобных проблем не было. возможно проблема на стороне системы. подобная ситуация вызывает вопросы. мне важно получить разъяснение. я потратил достаточно времени, пытаясь решить это самостоятельно. это произошло неожиданно, хотя раньше подобных проблем не было. мне важно получить разъяснение. мне важно получить разъяснение. очень рассчитываю на вашу помощь. подобная ситуация вызывает вопросы. это влияет на мои дальнейшие действия. я не понимаю, с чем это может быть связано. это произошло неожиданно, хотя раньше подобных проблем не было. я пробовал разобраться самостоятельно, но безрезультатно. я потратил достаточно времени, пытаясь решить это самостоятельно. мне важно получить разъяснение. подобная ситуация вызывает вопросы. жду вашего ответа.",0,0
"Здравствуйте, я столкнулся с проблемой при оплате заказа. очень рассчитываю на вашу помощь. это произошло неожиданно, хотя раньше подобных проблем не было. я пробовал разобраться самостоятельно, но безрезультатно. я потратил достаточно времени, пытаясь решить это самостоятельно. это влияет на мои дальнейшие действия. мне важно получить разъяснение. это создает серьезные неудобства при использовании сервиса. подобная ситуация вызывает вопросы. это создает серьезные неудобства при использовании сервиса. это произошло неожиданно, хотя раньше подобных проблем не было. это произошло неожиданно, хотя раньше подобных проблем не было. это влияет на мои дальнейшие действия. это произошло неожиданно, хотя раньше подобных проблем не было. возможно проблема на стороне системы. мне важно получить разъяснение. это создает серьезные неудобства при использовании сервиса. это влияет на мои дальнейшие действия. я не понимаю, с чем это может быть связано. мне важно получить разъяснение. подобная ситуация вызывает вопросы. я потратил достаточно времени, пытаясь решить это самостоятельно. я не понимаю, с чем это может быть связано. я пробовал разобраться самостоятельно, но безрезультатно. мне важно получить разъяснение. это произошло неожиданно, хотя раньше подобных проблем не было. очень рассчитываю на вашу помощь. возможно проблема на стороне системы. это влияет на мои дальнейшие действия. это произошло неожиданно, хотя раньше подобных проблем не было. это произошло неожиданно, хотя раньше подобных проблем не было. заранее спасибо за ответ.",0,0
"Добрый день, не удалось корректно завершить платеж. возможно проблема на стороне системы. я потратил достаточно времени, пытаясь решить это самостоятельно. мне важно получить разъяснение. очень рассчитываю на вашу помощь. я не понимаю, с чем это может быть связано. это влияет на мои дальнейшие действия. подобная ситуация вызывает вопросы. очень рассчитываю на вашу помощь. это произошло неожиданно, хотя раньше подобных проблем не было. я пробовал разобраться самостоятельно, но безрезультатно. это создает серьезные неудобства при использовании сервиса. подобная ситуация вызывает вопросы. я потратил достаточно времени, пытаясь решить это самостоятельно. я пробовал разобраться самостоятельно, но безрезультатно. это произошло неожиданно, хотя раньше подобных проблем не было. мне важно получить разъяснение. я пробовал разобраться самостоятельно, но безрезультатно. я потратил достаточно времени, пытаясь решить это самостоятельно. очень рассчитываю на вашу помощь. очень рассчитываю на вашу помощь. я пробовал разобраться самостоятельно, но безрезультатно. возможно проблема на стороне системы. я пробовал разобраться самостоятельно, но безрезультатно. мне важно получить разъяснение. это создает серьезные неудобства при использовании сервиса. я пробовал разобраться самостоятельно, но безрезультатно. мне важно получить разъяснение. мне важно получить разъяснение. это произошло неожиданно, хотя раньше подобных проблем не было. возможно проблема на стороне системы. я пробовал разобраться самостоятельно, но безрезультатно. я пробовал разобраться самостоятельно, но безрезультатно. я потратил достаточно времени, пытаясь решить это самостоятельно. жду вашего ответа.",0,0
"Приветствую, у меня возникла странная ситуация с оплатой. я не понимаю, с чем это может быть связано. это создает серьезные неудобства при использовании сервиса. мне важно получить разъяснение. это произошло неожиданно, хотя раньше подобных проблем не было. я пробовал разобраться самостоятельно, но безрезультатно. это создает серьезные неудобства при использовании сервиса. я потратил достаточно времени, пытаясь решить это самостоятельно. очень рассчитываю на вашу помощь. это влияет на мои дальнейшие действия. возможно проблема на стороне системы. подобная ситуация вызывает вопросы. это влияет на мои дальнейшие действия. это создает серьезные неудобства при использовании сервиса. подобная ситуация вызывает вопросы. очень рассчитываю на вашу помощь. я потратил достаточно времени, пытаясь решить это самостоятельно. это создает серьезные неудобства при использовании сервиса. я потратил достаточно времени, пытаясь решить это самостоятельно. подобная ситуация вызывает вопросы. очень рассчитываю на вашу помощь. это произошло неожиданно, хотя раньше подобных проблем не было. это влияет на мои дальнейшие действия. я не понимаю, с чем это может быть связано. это создает серьезные неудобства при использовании сервиса. я пробовал разобраться самостоятельно, но безрезультатно. подобная ситуация вызывает вопросы. я не понимаю, с чем это может быть связано. мне важно получить разъяснение. это создает серьезные неудобства при использовании сервиса. я пробовал разобраться самостоятельно, но безрезультатно. возможно проблема на стороне системы. надеюсь на скорое решение.",0,0
"Приветствую, не удалось корректно завершить платеж. возможно проблема на стороне системы. я пробовал разобраться самостоятельно, но безрезультатно. я потратил достаточно времени, пытаясь решить это самостоятельно. мне важно получить разъяснение. я не понимаю, с чем это может быть связано. это создает серьезные неудобства при использовании сервиса. подобная ситуация вызывает вопросы. мне важно получить разъяснение. очень рассчитываю на вашу помощь. я потратил достаточно времени, пытаясь решить это самостоятельно. это влияет на мои дальнейшие действия. возможно проблема на стороне системы. это произошло неожиданно, хотя раньше подобных проблем не было. я пробовал разобраться самостоятельно, но безрезультатно. возможно проблема на стороне системы. мне важно получить разъяснение. я не понимаю, с чем это может быть связано. очень рассчитываю на вашу помощь. это произошло неожиданно, хотя раньше подобных проблем не было. это влияет на мои дальнейшие действия. это произошло неожиданно, хотя раньше подобных проблем не было. я не понимаю, с чем это может быть связано. очень рассчитываю на вашу помощь. подобная ситуация вызывает вопросы. возможно проблема на стороне системы. возможно проблема на стороне системы. это произошло неожиданно, хотя раньше подобных проблем не было. мне важно получить разъяснение. это создает серьезные неудобства при использовании сервиса. я потратил достаточно времени, пытаясь решить это самостоятельно. это произошло неожиданно, хотя раньше подобных проблем не было. буду благодарен за помощь.",0,0
"Здравствуйте, служба поддержки, у меня возникла странная ситуация с оплатой. очень рассчитываю на вашу помощь. я потратил достаточно времени, пытаясь решить это самостоятельно. это влияет на мои дальнейшие действия. подобная ситуация вызывает вопросы. это произошло неожиданно, хотя раньше подобных проблем не было. это произошло неожиданно, хотя раньше подобных проблем не было. это создает серьезные неудобства при использовании сервиса. мне важно получить разъяснение. я не понимаю, с чем это может быть связано. я пробовал разобраться самостоятельно, но безрезультатно. очень рассчитываю на вашу помощь. я потратил достаточно времени, пытаясь решить это самостоятельно. возможно проблема на стороне системы. это создает серьезные неудобства при использовании сервиса. очень рассчитываю на вашу помощь. мне важно получить разъяснение. я пробовал разобраться самостоятельно, но безрезультатно. это произошло неожиданно, хотя раньше подобных проблем не было. подобная ситуация вызывает вопросы. я потратил достаточно времени, пытаясь решить это самостоятельно. это влияет на мои дальнейшие действия. я пробовал разобраться самостоятельно, но безрезультатно. это влияет на мои дальнейшие действия. подобная ситуация вызывает вопросы. возможно проблема на стороне системы. очень рассчитываю на вашу помощь. подобная ситуация вызывает вопросы. это создает серьезные неудобства при использовании сервиса. я не понимаю, с чем это может быть связано. мне важно получить разъяснение. очень рассчитываю на вашу помощь. я не понимаю, с чем это может быть связано. заранее спасибо за ответ.",0,0
"Здравствуйте, служба поддержки, при попытке оплаты возникает ошибка. это создает серьезные неудобства при использовании сервиса. я потратил достаточно времени, пытаясь решить это самостоятельно. я пробовал разобраться самостоятельно, но безрезультатно. очень рассчитываю на вашу помощь. это произошло неожиданно, хотя раньше подобных проблем не было. это произошло неожиданно, хотя раньше подобных проблем не было. подобная ситуация вызывает вопросы. мне важно получить разъяснение. это влияет на мои дальнейшие действия. я не понимаю, с чем это может быть связано. мне важно получить разъяснение. возможно проблема на стороне системы. это произошло неожиданно, хотя раньше подобных проблем не было. очень рассчитываю на вашу помощь. я не понимаю, с чем это может быть связано. подобная ситуация вызывает вопросы. подобная ситуация вызывает вопросы. подобная ситуация вызывает вопросы. мне важно получить разъяснение. подобная ситуация вызывает вопросы. мне важно получить разъяснение. очень рассчитываю на вашу помощь. мне важно получить разъяснение. мне важно получить разъяснение. это создает серьезные неудобства при использовании сервиса. мне важно получить разъяснение. это влияет на мои дальнейшие действия. я потратил достаточно времени, пытаясь решить это самостоятельно. я пробовал разобраться самостоятельно, но безрезультатно. я потратил достаточно времени, пытаясь решить это самостоятельно. подобная ситуация вызывает вопросы. возможно проблема на стороне системы. я потратил достаточно времени, пытаясь решить это самостоятельно. жду вашего ответа.",0,0
